"median_house_value","total_bedrooms","total_rooms","bedroom_per_room"
"90600","74","269","0.28"
"90600","182","695","0.26"
"90600","346","1331","0.26"
"90600","1635","6988","0.23"
"90600","531","2287","0.23"
"90600","367","1594","0.23"
"90600","74","325","0.23"
"90600","425","1914","0.22"
"90600","254","1162","0.22"
"90600","278","1248","0.22"
"90600","112","529","0.21"
"90600","191","930","0.21"
"90600","198","948","0.21"
"90600","597","3042","0.20"
"90600","343","1684","0.20"
"90600","348","1745","0.20"
"90600","566","2912","0.19"
"90600","504","2718","0.19"
"90700","328","1467","0.22"
"90700","533","2424","0.22"
"90700","456","2028","0.22"
"90800","492","1953","0.25"
"90800","1985","8948","0.22"
"90800","311","1420","0.22"
"90800","909","4515","0.20"
"90800","325","1652","0.20"
"90800","942","5151","0.18"
"90800","166","942","0.18"
"90800","274","1608","0.17"
"90900","276","1040","0.27"
"90900","104","409","0.25"
"90900","2481","10105","0.25"
"90900","354","1677","0.21"
"90900","304","1757","0.17"
"90900","317","2100","0.15"
"91000","667","2855","0.23"
"91000","623","3391","0.18"
"91100","1316","5571","0.24"
"91100","733","3077","0.24"
"91100","118","521","0.23"
"91100","270","1305","0.21"
"91100","881","4356","0.20"
"91200","790","3072","0.26"
"91200","798","3758","0.21"
"91200","602","2868","0.21"
"91200","405","1996","0.20"
"91200","408","2018","0.20"
"91200","666","3414","0.20"
"91200","632","3197","0.20"
"91200","502","2643","0.19"
"91200","293","1806","0.16"
"91300","378","1113","0.34"
"91300","628","2127","0.30"
"91300","536","1789","0.30"
"91300","726","2393","0.30"
"91300","680","2653","0.26"
"91300","855","3404","0.25"
"91300","135","570","0.24"
"91300","317","1529","0.21"
"91300","778","3995","0.19"
"91300","764","3940","0.19"
"91300","181","1007","0.18"
"91400","611","1983","0.31"
"91400","142","504","0.28"
"91400","452","1701","0.27"
"91400","591","2508","0.24"
"91400","282","1368","0.21"
"91400","619","3348","0.18"
"91500","594","2268","0.26"
"91500","391","1582","0.25"
"91500","315","1312","0.24"
"91500","416","2002","0.21"
"91500","481","2707","0.18"
"91600","275","1041","0.26"
"91600","1137","4503","0.25"
"91600","706","3455","0.20"
"91600","463","2456","0.19"
"91600","575","3166","0.18"
"91600","280","1531","0.18"
"91700","624","2457","0.25"
"91700","270","1126","0.24"
"91700","232","1057","0.22"
"91700","391","1740","0.22"
"91700","59","282","0.21"
"91700","59","279","0.21"
"91700","314","1462","0.21"
"91700","214","1065","0.20"
"91700","175","873","0.20"
"91700","56","292","0.19"
"91700","61","314","0.19"
"91700","317","1724","0.18"
"91800","295","1144","0.26"
"91800","339","1405","0.24"
"91800","287","1379","0.21"
"91800","394","2122","0.19"
"91800","851","4686","0.18"
"91800","449","2566","0.17"
"91800","242","1554","0.16"
"91900","504","1700","0.30"
"91900","479","1611","0.30"
"91900","663","2912","0.23"
"91900","374","1724","0.22"
"91900","222","1038","0.21"
"91900","402","1956","0.21"
"91900","325","1717","0.19"
"91900","528","3054","0.17"
"92000","923","3652","0.25"
"92000","795","3375","0.24"
"92000","1139","4937","0.23"
"92000","211","940","0.22"
"92000","375","1808","0.21"
"92000","176","907","0.19"
"92000","216","1231","0.18"
"92100","951","4157","0.23"
"92100","399","2131","0.19"
"92200","631","2056","0.31"
"92200","580","2046","0.28"
"92200","345","1306","0.26"
"92200","291","1176","0.25"
"92200","850","4201","0.20"
"92200","224","1199","0.19"
"92200","689","3848","0.18"
"92200","303","1667","0.18"
"92200","339","1922","0.18"
"92200","458","2532","0.18"
"92300","558","1669","0.33"
"92300","642","2327","0.28"
"92300","254","932","0.27"
"92300","416","1720","0.24"
"92300","485","2254","0.22"
"92300","271","1257","0.22"
"92300","449","2512","0.18"
"92400","774","2422","0.32"
"92400","536","2095","0.26"
"92400","1220","5395","0.23"
"92400","165","721","0.23"
"92400","555","2532","0.22"
"92400","421","2043","0.21"
"92400","509","2570","0.20"
"92400","563","2748","0.20"
"92400","340","1713","0.20"
"92400","356","1791","0.20"
"92400","1196","6323","0.19"
"92400","697","3676","0.19"
"92500","937","3249","0.29"
"92500","457","1722","0.27"
"92500","1136","4188","0.27"
"92500","330","1227","0.27"
"92500","236","928","0.25"
"92500","281","1223","0.23"
"92500","117","576","0.20"
"92500","1584","8414","0.19"
"92500","357","1899","0.19"
"92500","254","1396","0.18"
"92500","618","3400","0.18"
"92500","615","3521","0.17"
"92600","203","796","0.26"
"92600","472","1931","0.24"
"92600","386","1727","0.22"
"92600","235","1137","0.21"
"92600","108","508","0.21"
"92600","611","2967","0.21"
"92600","432","2085","0.21"
"92600","798","4032","0.20"
"92600","591","2888","0.20"
"92600","760","3860","0.20"
"92600","129","642","0.20"
"92600","365","1854","0.20"
"92600","296","1551","0.19"
"92600","193","1098","0.18"
"92600","551","3167","0.17"
"92600","301","1829","0.16"
"92700","369","1467","0.25"
"92700","1171","5129","0.23"
"92700","448","1995","0.22"
"92700","620","2842","0.22"
"92700","712","3609","0.20"
"92700","417","2084","0.20"
"92700","421","2148","0.20"
"92700","236","1221","0.19"
"92700","595","3146","0.19"
"92700","371","2161","0.17"
"92800","241","954","0.25"
"92800","895","4143","0.22"
"92800","261","1173","0.22"
"92800","278","1303","0.21"
"92800","295","1446","0.20"
"92800","258","1262","0.20"
"92800","1165","5904","0.20"
"92800","363","1885","0.19"
"92800","359","2017","0.18"
"92800","343","1904","0.18"
"92800","44","249","0.18"
"92800","365","2080","0.18"
"92800","373","2048","0.18"
"92800","423","2426","0.17"
"92900","553","1635","0.34"
"92900","509","1486","0.34"
"92900","860","3154","0.27"
"92900","444","1664","0.27"
"92900","234","1052","0.22"
"92900","261","1178","0.22"
"92900","456","2081","0.22"
"92900","565","3037","0.19"
"92900","542","3212","0.17"
"92900","347","2047","0.17"
"93000","146","515","0.28"
"93000","1156","4503","0.26"
"93000","193","865","0.22"
"93000","461","2347","0.20"
"93000","462","2330","0.20"
"93000","346","1781","0.19"
"93100","256","967","0.26"
"93100","285","1131","0.25"
"93100","397","1764","0.23"
"93100","231","1124","0.21"
"93100","887","4627","0.19"
"93100","297","1637","0.18"
"93100","659","3593","0.18"
"93100","409","2343","0.17"
"93100","303","1926","0.16"
"93100","277","1717","0.16"
"93200","648","2206","0.29"
"93200","403","1562","0.26"
"93200","428","1701","0.25"
"93200","779","3130","0.25"
"93200","260","1147","0.23"
"93200","641","3120","0.21"
"93200","904","4591","0.20"
"93200","320","1676","0.19"
"93200","330","1932","0.17"
"93200","363","2335","0.16"
"93300","339","1293","0.26"
"93300","388","1597","0.24"
"93300","260","1178","0.22"
"93300","786","3603","0.22"
"93300","1400","6850","0.20"
"93300","438","2364","0.19"
"93300","181","931","0.19"
"93300","368","1954","0.19"
"93300","1005","5643","0.18"
"93400","270","782","0.35"
"93400","367","1421","0.26"
"93400","887","3497","0.25"
"93400","601","2361","0.25"
"93400","388","1602","0.24"
"93400","1051","4584","0.23"
"93400","218","1080","0.20"
"93400","1039","5236","0.20"
"93400","315","1540","0.20"
"93400","571","2864","0.20"
"93400","327","1677","0.19"
"93400","234","1245","0.19"
"93400","410","2214","0.19"
"93400","369","2019","0.18"
"93500","226","908","0.25"
"93500","366","1759","0.21"
"93500","254","1265","0.20"
"93500","229","1128","0.20"
"93500","323","1621","0.20"
"93600","571","2309","0.25"
"93600","350","1412","0.25"
"93600","494","2073","0.24"
"93600","247","1079","0.23"
"93600","357","1527","0.23"
"93600","459","2024","0.23"
"93600","1455","7035","0.21"
"93600","259","1297","0.20"
"93600","301","1597","0.19"
"93600","512","3303","0.16"
"93700","430","2250","0.19"
"93700","248","1380","0.18"
"93800","77","200","0.39"
"93800","492","1334","0.37"
"93800","1214","3430","0.35"
"93800","658","2324","0.28"
"93800","216","793","0.27"
"93800","166","613","0.27"
"93800","513","1954","0.26"
"93800","594","2276","0.26"
"93800","500","1943","0.26"
"93800","17","67","0.25"
"93800","366","1524","0.24"
"93800","456","1868","0.24"
"93800","43","176","0.24"
"93800","42","172","0.24"
"93800","238","1016","0.23"
"93800","175","754","0.23"
"93800","149","652","0.23"
"93800","244","1130","0.22"
"93800","296","1318","0.22"
"93800","659","3375","0.20"
"93800","296","1486","0.20"
"93800","465","2447","0.19"
"93800","278","1465","0.19"
"93800","153","848","0.18"
"93800","449","2524","0.18"
"93800","294","1666","0.18"
"93800","81","472","0.17"
"93800","107","686","0.16"
"93800","184","1124","0.16"
"93900","519","1855","0.28"
"93900","335","1428","0.23"
"93900","681","3656","0.19"
"93900","183","965","0.19"
"93900","378","2250","0.17"
"94000","323","1255","0.26"
"94000","305","1182","0.26"
"94000","315","1371","0.23"
"94000","200","921","0.22"
"94000","472","2255","0.21"
"94000","503","2611","0.19"
"94100","278","847","0.33"
"94100","500","1772","0.28"
"94100","925","4460","0.21"
"94100","643","3247","0.20"
"94100","729","3585","0.20"
"94100","349","2011","0.17"
"94200","410","1510","0.27"
"94200","186","699","0.27"
"94200","375","1381","0.27"
"94200","374","1504","0.25"
"94200","582","2409","0.24"
"94200","886","3896","0.23"
"94200","331","1498","0.22"
"94200","244","1214","0.20"
"94200","414","2200","0.19"
"94200","331","1741","0.19"
"94200","337","1860","0.18"
"94200","589","3356","0.18"
"94200","481","2692","0.18"
"94200","204","1405","0.15"
"94300","448","1587","0.28"
"94300","317","1185","0.27"
"94300","146","576","0.25"
"94300","554","2285","0.24"
"94300","377","1607","0.23"
"94300","493","2358","0.21"
"94300","140","667","0.21"
"94300","280","1401","0.20"
"94300","202","1264","0.16"
"94400","1529","5330","0.29"
"94400","369","1513","0.24"
"94400","534","2476","0.22"
"94400","599","2682","0.22"
"94400","576","2608","0.22"
"94400","326","1575","0.21"
"94400","191","968","0.20"
"94400","405","2052","0.20"
"94400","459","2322","0.20"
"94400","177","935","0.19"
"94400","389","2171","0.18"
"94400","370","2340","0.16"
"94500","270","1002","0.27"
"94500","384","1534","0.25"
"94500","497","2189","0.23"
"94500","673","3480","0.19"
"94500","810","4587","0.18"
"94500","266","1482","0.18"
"94500","97","569","0.17"
"94500","214","1341","0.16"
"94600","589","1591","0.37"
"94600","395","1213","0.33"
"94600","344","1124","0.31"
"94600","92","378","0.24"
"94600","378","1561","0.24"
"94600","329","1481","0.22"
"94600","238","1075","0.22"
"94600","325","1504","0.22"
"94600","295","1384","0.21"
"94600","550","2707","0.20"
"94600","719","3817","0.19"
"94600","454","2493","0.18"
"94600","375","2121","0.18"
"94600","300","1820","0.16"
"94700","417","1728","0.24"
"94700","303","1320","0.23"
"94700","495","2191","0.23"
"94700","610","2828","0.22"
"94700","312","1411","0.22"
"94700","232","1208","0.19"
"94700","391","2024","0.19"
"94800","163","405","0.40"
"94800","609","2063","0.30"
"94800","538","2044","0.26"
"94800","1229","5032","0.24"
"94800","597","2689","0.22"
"94800","152","677","0.22"
"94800","343","1685","0.20"
"94800","857","4590","0.19"
"94900","291","1156","0.25"
"94900","327","1379","0.24"
"94900","221","973","0.23"
"94900","640","3109","0.21"
"94900","472","2292","0.21"
"94900","247","1211","0.20"
"94900","559","2745","0.20"
"94900","322","1678","0.19"
"94900","375","1975","0.19"
"94900","556","3124","0.18"
"95000","128","391","0.33"
"95000","376","1245","0.30"
"95000","208","789","0.26"
"95000","465","1865","0.25"
"95000","2224","9033","0.25"
"95000","206","863","0.24"
"95000","654","2866","0.23"
"95000","336","1533","0.22"
"95000","481","2174","0.22"
"95000","233","1045","0.22"
"95000","311","1384","0.22"
"95000","481","2515","0.19"
"95000","621","3289","0.19"
"95000","649","3938","0.16"
"95100","344","1255","0.27"
"95100","346","1387","0.25"
"95100","400","1614","0.25"
"95100","131","545","0.24"
"95100","279","1535","0.18"
"95200","297","935","0.32"
"95200","190","797","0.24"
"95200","294","1227","0.24"
"95200","270","1242","0.22"
"95200","598","3042","0.20"
"95200","1341","6911","0.19"
"95200","234","1228","0.19"
"95200","405","2267","0.18"
"95200","741","4164","0.18"
"95200","340","1878","0.18"
"95200","388","2220","0.17"
"95300","516","1821","0.28"
"95300","347","1475","0.24"
"95300","848","3794","0.22"
"95300","537","2453","0.22"
"95300","478","2206","0.22"
"95300","769","3707","0.21"
"95300","145","732","0.20"
"95300","2205","10997","0.20"
"95300","542","2691","0.20"
"95300","804","3965","0.20"
"95300","699","3744","0.19"
"95300","559","2867","0.19"
"95300","410","2106","0.19"
"95300","572","3170","0.18"
"95300","253","1490","0.17"
"95300","342","2051","0.17"
"95300","570","3344","0.17"
"95400","247","1102","0.22"
"95400","438","2319","0.19"
"95500","503","1701","0.30"
"95500","395","1372","0.29"
"95500","424","1766","0.24"
"95500","273","1215","0.22"
"95500","514","2299","0.22"
"95500","435","1961","0.22"
"95500","504","2359","0.21"
"95500","325","1700","0.19"
"95500","485","2547","0.19"
"95500","408","2259","0.18"
"95500","377","2102","0.18"
"95500","631","3616","0.17"
"95600","725","3200","0.23"
"95600","539","2321","0.23"
"95600","573","2598","0.22"
"95600","275","1275","0.22"
"95600","137","633","0.22"
"95600","726","3538","0.21"
"95600","1594","7804","0.20"
"95600","290","1541","0.19"
"95600","470","2460","0.19"
"95600","2181","11810","0.18"
"95700","362","1407","0.26"
"95700","576","2289","0.25"
"95700","249","1086","0.23"
"95700","272","1250","0.22"
"95700","495","2746","0.18"
"95700","573","3253","0.18"
"95800","547","1342","0.41"
"95800","237","780","0.30"
"95800","552","1905","0.29"
"95800","414","1484","0.28"
"95800","559","2083","0.27"
"95800","474","1986","0.24"
"95800","557","2374","0.23"
"95800","1286","5737","0.22"
"95800","445","2010","0.22"
"95800","535","2547","0.21"
"95800","436","2163","0.20"
"95800","341","1684","0.20"
"95800","76","402","0.19"
"95800","497","2561","0.19"
"95800","113","583","0.19"
"95800","261","1560","0.17"
"95800","179","1089","0.16"
"95900","1702","6890","0.25"
"95900","363","1737","0.21"
"95900","392","1868","0.21"
"95900","223","1215","0.18"
"96000","700","3166","0.22"
"96000","826","4144","0.20"
"96000","214","1075","0.20"
"96000","379","1996","0.19"
"96000","385","2037","0.19"
"96000","375","1999","0.19"
"96000","312","1694","0.18"
"96000","470","2780","0.17"
"96000","268","1697","0.16"
"96100","246","964","0.26"
"96100","376","1514","0.25"
"96100","212","959","0.22"
"96100","369","1772","0.21"
"96100","619","2938","0.21"
"96100","851","4174","0.20"
"96100","589","3113","0.19"
"96100","444","2286","0.19"
"96200","440","1465","0.30"
"96200","466","1779","0.26"
"96200","210","838","0.25"
"96200","238","990","0.24"
"96200","389","1937","0.20"
"96200","735","3659","0.20"
"96200","547","2744","0.20"
"96200","165","927","0.18"
"96200","460","2562","0.18"
"96200","307","1668","0.18"
"96200","372","2098","0.18"
"96200","291","1787","0.16"
"96300","308","1246","0.25"
"96300","273","1152","0.24"
"96300","380","1796","0.21"
"96300","313","1507","0.21"
"96300","335","1802","0.19"
"96300","143","805","0.18"
"96300","264","1497","0.18"
"96400","379","871","0.44"
"96400","89","312","0.29"
"96400","301","1137","0.26"
"96400","281","1120","0.25"
"96400","395","1903","0.21"
"96400","357","1824","0.20"
"96400","363","1808","0.20"
"96400","195","1001","0.19"
"96400","549","2919","0.19"
"96400","279","1545","0.18"
"96400","676","3795","0.18"
"96500","949","4116","0.23"
"96500","426","1837","0.23"
"96500","588","2637","0.22"
"96500","154","723","0.21"
"96500","599","2878","0.21"
"96500","735","4055","0.18"
"96500","431","2382","0.18"
"96500","239","1457","0.16"
"96600","535","2342","0.23"
"96600","346","1617","0.21"
"96600","331","1607","0.21"
"96600","238","1349","0.18"
"96600","1279","7709","0.17"
"96700","595","1961","0.30"
"96700","772","2862","0.27"
"96700","399","1604","0.25"
"96700","277","1149","0.24"
"96700","378","1771","0.21"
"96700","318","1599","0.20"
"96700","452","2308","0.20"
"96700","190","1191","0.16"
"96800","371","1546","0.24"
"96800","523","2238","0.23"
"96800","553","2462","0.22"
"96800","413","1902","0.22"
"96800","277","1387","0.20"
"96800","658","3335","0.20"
"96800","667","3294","0.20"
"96800","397","2156","0.18"
"96800","439","2527","0.17"
"96900","203","642","0.32"
"96900","771","2574","0.30"
"96900","561","2078","0.27"
"96900","444","1774","0.25"
"96900","185","811","0.23"
"96900","55","248","0.22"
"96900","251","1129","0.22"
"96900","1257","5907","0.21"
"96900","403","2199","0.18"
"96900","941","5589","0.17"
"97000","588","2062","0.29"
"97000","573","2334","0.25"
"97000","383","1698","0.23"
"97000","345","1811","0.19"
"97000","390","2103","0.19"
"97000","372","2236","0.17"
"97100","447","1407","0.32"
"97100","464","2037","0.23"
"97100","144","677","0.21"
"97100","630","3075","0.20"
"97100","712","3781","0.19"
"97100","787","4059","0.19"
"97200","361","1045","0.35"
"97200","134","463","0.29"
"97200","375","1314","0.29"
"97200","524","1899","0.28"
"97200","555","2261","0.25"
"97200","372","1591","0.23"
"97200","282","1215","0.23"
"97200","502","2320","0.22"
"97200","678","3301","0.21"
"97200","222","1116","0.20"
"97200","727","3835","0.19"
"97200","235","1534","0.15"
"97300","186","643","0.29"
"97300","497","1819","0.27"
"97300","397","1689","0.24"
"97300","257","1180","0.22"
"97300","441","2128","0.21"
"97300","484","2310","0.21"
"97300","579","2724","0.21"
"97300","971","5175","0.19"
"97300","553","2978","0.19"
"97300","182","946","0.19"
"97300","276","1535","0.18"
"97300","357","2234","0.16"
"97300","266","1683","0.16"
"97400","100","328","0.30"
"97400","831","3477","0.24"
"97400","460","1898","0.24"
"97400","314","1354","0.23"
"97400","543","2316","0.23"
"97400","278","1493","0.19"
"97400","245","1258","0.19"
"97400","343","1981","0.17"
"97400","452","2673","0.17"
"97400","340","2360","0.14"
"97500","526","1786","0.29"
"97500","586","2033","0.29"
"97500","853","3221","0.26"
"97500","443","1702","0.26"
"97500","236","909","0.26"
"97500","312","1240","0.25"
"97500","147","649","0.23"
"97500","763","3260","0.23"
"97500","1110","4872","0.23"
"97500","458","2216","0.21"
"97500","636","3720","0.17"
"97600","267","1090","0.24"
"97600","380","1770","0.21"
"97600","459","2429","0.19"
"97600","369","1958","0.19"
"97600","341","1923","0.18"
"97600","307","1717","0.18"
"97600","257","1517","0.17"
"97700","445","1613","0.28"
"97700","346","1326","0.26"
"97700","242","1117","0.22"
"97700","309","1503","0.21"
"97700","704","3552","0.20"
"97700","384","2167","0.18"
"97800","1507","5665","0.27"
"97800","274","1044","0.26"
"97800","345","1353","0.25"
"97800","662","2806","0.24"
"97800","434","1963","0.22"
"97800","3474","16148","0.22"
"97800","453","2280","0.20"
"97800","570","3084","0.18"
"97800","872","4855","0.18"
"97900","496","1802","0.28"
"97900","705","2846","0.25"
"97900","358","1529","0.23"
"97900","380","1633","0.23"
"97900","465","2061","0.23"
"97900","297","1374","0.22"
"97900","198","946","0.21"
"97900","1758","8476","0.21"
"97900","635","3081","0.21"
"97900","198","1282","0.15"
"98000","819","2910","0.28"
"98000","248","987","0.25"
"98000","272","1308","0.21"
"98000","548","2598","0.21"
"98000","272","1292","0.21"
"98000","658","3538","0.19"
"98000","831","4497","0.18"
"98000","316","1751","0.18"
"98000","392","2163","0.18"
"98100","713","2787","0.26"
"98100","314","1307","0.24"
"98100","339","1576","0.22"
"98100","419","2015","0.21"
"98100","469","2275","0.21"
"98100","278","1423","0.20"
"98100","361","1867","0.19"
"98100","335","1902","0.18"
"98100","774","4547","0.17"
"98200","223","824","0.27"
"98200","351","1295","0.27"
"98200","206","762","0.27"
"98200","71","278","0.26"
"98200","397","1764","0.23"
"98200","326","1458","0.22"
"98200","509","2402","0.21"
"98200","1273","6246","0.20"
"98200","313","1650","0.19"
"98200","143","773","0.18"
"98300","703","2577","0.27"
"98300","266","1132","0.23"
"98300","735","3474","0.21"
"98300","459","2162","0.21"
"98300","929","4683","0.20"
"98300","412","2080","0.20"
"98300","426","2101","0.20"
"98300","320","1587","0.20"
"98300","461","2373","0.19"
"98300","585","3293","0.18"
"98400","107","312","0.34"
"98400","340","1175","0.29"
"98400","317","1205","0.26"
"98400","441","1832","0.24"
"98400","353","1560","0.23"
"98400","410","1813","0.23"
"98400","513","2474","0.21"
"98400","142","742","0.19"
"98400","49","272","0.18"
"98500","644","2207","0.29"
"98500","2035","7746","0.26"
"98500","574","2261","0.25"
"98500","351","1579","0.22"
"98500","317","1425","0.22"
"98500","791","3619","0.22"
"98500","233","1148","0.20"
"98500","702","3783","0.19"
"98500","910","4787","0.19"
"98500","518","2810","0.18"
"98500","408","2513","0.16"
"98500","330","2049","0.16"
"98500","619","3772","0.16"
"98600","116","448","0.26"
"98600","217","1027","0.21"
"98600","1079","5373","0.20"
"98600","328","1650","0.20"
"98600","1558","7923","0.20"
"98600","542","2832","0.19"
"98600","672","3915","0.17"
"98700","375","1234","0.30"
"98700","452","1540","0.29"
"98700","1152","4890","0.24"
"98700","479","2028","0.24"
"98700","644","2846","0.23"
"98700","860","3939","0.22"
"98700","578","2787","0.21"
"98700","265","1429","0.19"
"98700","340","1766","0.19"
"98700","434","2253","0.19"
"98800","535","1735","0.31"
"98800","406","1555","0.26"
"98800","115","498","0.23"
"98800","295","1326","0.22"
"98800","1559","7272","0.21"
"98800","204","1043","0.20"
"98800","555","2995","0.19"
"98800","1171","6111","0.19"
"98800","348","1991","0.17"
"98900","244","1076","0.23"
"98900","39","182","0.21"
"98900","929","4474","0.21"
"98900","240","1295","0.19"
"98900","199","1070","0.19"
"98900","716","3774","0.19"
"98900","418","2176","0.19"
"99000","802","2771","0.29"
"99000","173","705","0.25"
"99000","426","2006","0.21"
"99000","251","1336","0.19"
"99000","323","1818","0.18"
"99100","3630","12355","0.29"
"99100","500","1812","0.28"
"99100","253","1017","0.25"
"99100","221","882","0.25"
"99100","1206","5534","0.22"
"99100","464","2237","0.21"
"99100","882","4103","0.21"
"99100","474","2277","0.21"
"99100","488","2458","0.20"
"99100","533","2851","0.19"
"99100","653","3471","0.19"
"99100","340","1891","0.18"
"99200","722","2355","0.31"
"99200","444","1456","0.30"
"99200","356","1300","0.27"
"99200","416","1537","0.27"
"99200","424","1696","0.25"
"99200","429","1862","0.23"
"99200","388","1743","0.22"
"99200","630","3170","0.20"
"99200","188","1000","0.19"
"99200","326","1765","0.18"
"99200","568","3297","0.17"
"99300","262","879","0.30"
"99300","426","1602","0.27"
"99300","321","1211","0.27"
"99300","362","1401","0.26"
"99300","531","2041","0.26"
"99300","1486","6932","0.21"
"99300","298","1564","0.19"
"99300","282","1503","0.19"
"99300","297","1750","0.17"
"99300","782","4597","0.17"
"99400","462","2059","0.22"
"99400","1007","4924","0.20"
"99400","194","1022","0.19"
"99400","439","2264","0.19"
"99500","224","886","0.25"
"99500","369","1549","0.24"
"99500","665","3033","0.22"
"99500","265","1345","0.20"
"99500","881","4581","0.19"
"99500","623","3278","0.19"
"99500","460","2510","0.18"
"99500","727","3999","0.18"
"99500","256","1670","0.15"
"99600","668","2451","0.27"
"99600","289","1183","0.24"
"99600","385","1580","0.24"
"99600","311","1315","0.24"
"99600","265","1103","0.24"
"99600","418","1786","0.23"
"99600","484","2250","0.22"
"99600","605","3046","0.20"
"99600","296","1565","0.19"
"99600","444","2328","0.19"
"99600","438","2803","0.16"
"99600","301","2007","0.15"
"99700","363","1621","0.22"
"99700","337","1688","0.20"
"99700","481","2693","0.18"
"99800","312","1463","0.21"
"99800","715","3839","0.19"
"99800","289","1521","0.19"
"99800","376","1968","0.19"
"99800","299","1708","0.18"
"99900","1106","5434","0.20"
"100000","409","926","0.44"
"100000","468","1200","0.39"
"100000","267","720","0.37"
"100000","820","2421","0.34"
"100000","294","932","0.32"
"100000","314","979","0.32"
"100000","365","1156","0.32"
"100000","303","948","0.32"
"100000","328","1017","0.32"
"100000","586","1886","0.31"
"100000","658","2127","0.31"
"100000","436","1419","0.31"
"100000","478","1607","0.30"
"100000","1106","3706","0.30"
"100000","176","584","0.30"
"100000","734","2452","0.30"
"100000","90","299","0.30"
"100000","92","333","0.28"
"100000","634","2305","0.28"
"100000","140","504","0.28"
"100000","330","1223","0.27"
"100000","318","1162","0.27"
"100000","768","2833","0.27"
"100000","304","1138","0.27"
"100000","489","1839","0.27"
"100000","1046","3854","0.27"
"100000","607","2360","0.26"
"100000","917","3508","0.26"
"100000","200","764","0.26"
"100000","584","2269","0.26"
"100000","449","1792","0.25"
"100000","139","591","0.24"
"100000","233","954","0.24"
"100000","375","1542","0.24"
"100000","545","2235","0.24"
"100000","327","1439","0.23"
"100000","507","2198","0.23"
"100000","599","2619","0.23"
"100000","45","207","0.22"
"100000","335","1520","0.22"
"100000","120","552","0.22"
"100000","338","1631","0.21"
"100000","358","1703","0.21"
"100000","41","198","0.21"
"100000","134","640","0.21"
"100000","362","1748","0.21"
"100000","248","1189","0.21"
"100000","579","2813","0.21"
"100000","367","1791","0.20"
"100000","449","2289","0.20"
"100000","193","980","0.20"
"100000","69","337","0.20"
"100000","87","432","0.20"
"100000","104","513","0.20"
"100000","63","324","0.19"
"100000","510","2668","0.19"
"100000","319","1671","0.19"
"100000","149","831","0.18"
"100000","70","395","0.18"
"100000","479","2722","0.18"
"100000","251","1424","0.18"
"100000","18","108","0.17"
"100100","714","3514","0.20"
"100100","2302","13714","0.17"
"100100","548","3585","0.15"
"100200","464","2176","0.21"
"100200","549","2721","0.20"
"100200","353","2075","0.17"
"100300","544","2215","0.25"
"100300","238","1236","0.19"
"100300","374","2118","0.18"
"100300","235","1378","0.17"
"100400","211","998","0.21"
"100400","884","4676","0.19"
"100500","475","1575","0.30"
"100500","939","3778","0.25"
"100500","1082","4776","0.23"
"100500","499","2581","0.19"
"100500","672","3579","0.19"
"100600","432","1724","0.25"
"100600","352","1521","0.23"
"100600","1003","4376","0.23"
"100600","352","1750","0.20"
"100600","616","3012","0.20"
"100600","264","1477","0.18"
"100600","511","2858","0.18"
"100700","833","3360","0.25"
"100700","1901","9027","0.21"
"100800","525","1676","0.31"
"100800","403","1301","0.31"
"100800","550","2057","0.27"
"100800","200","754","0.27"
"100800","422","1669","0.25"
"100800","522","2143","0.24"
"100800","971","4656","0.21"
"100800","315","1871","0.17"
"100900","338","1463","0.23"
"100900","332","1479","0.22"
"100900","295","1596","0.18"
"101000","1256","4418","0.28"
"101000","189","806","0.23"
"101000","510","2251","0.23"
"101000","331","1528","0.22"
"101000","577","3057","0.19"
"101100","469","1667","0.28"
"101100","469","1710","0.27"
"101100","630","2434","0.26"
"101100","662","2666","0.25"
"101100","533","2212","0.24"
"101100","146","692","0.21"
"101100","384","1940","0.20"
"101100","358","1786","0.20"
"101100","507","3237","0.16"
"101200","662","3179","0.21"
"101200","655","3502","0.19"
"101200","408","2281","0.18"
"101200","406","2336","0.17"
"101200","520","3174","0.16"
"101300","363","1419","0.26"
"101300","176","704","0.25"
"101300","304","1206","0.25"
"101300","226","935","0.24"
"101300","688","3321","0.21"
"101300","576","2876","0.20"
"101300","372","2014","0.18"
"101400","688","2569","0.27"
"101400","814","3303","0.25"
"101400","393","1852","0.21"
"101400","250","1225","0.20"
"101400","250","1338","0.19"
"101400","433","2235","0.19"
"101400","269","1549","0.17"
"101400","321","1871","0.17"
"101400","466","3136","0.15"
"101500","584","1966","0.30"
"101500","599","2099","0.29"
"101500","482","1795","0.27"
"101500","477","2052","0.23"
"101500","268","1260","0.21"
"101500","359","1879","0.19"
"101500","160","866","0.18"
"101500","407","2245","0.18"
"101600","571","2274","0.25"
"101600","514","2101","0.24"
"101600","193","818","0.24"
"101600","315","1451","0.22"
"101600","253","1229","0.21"
"101600","543","2685","0.20"
"101600","64","321","0.20"
"101600","963","4711","0.20"
"101600","192","990","0.19"
"101600","1008","5451","0.18"
"101600","126","695","0.18"
"101700","894","4483","0.20"
"101700","217","1083","0.20"
"101700","992","4843","0.20"
"101800","773","2795","0.28"
"101800","653","2415","0.27"
"101800","191","763","0.25"
"101800","162","656","0.25"
"101800","84","370","0.23"
"101800","61","311","0.20"
"101800","544","2770","0.20"
"101900","342","1283","0.27"
