"median_income","population","household","total_rooms","people_per_household","people_per_room"
"53638","2874","886","5710","3.244","0.503"
"53637","1391","522","3494","2.665","0.398"
"53630.00000000001","1225","367","2678","3.338","0.457"
"53625","927","239","1427","3.879","0.650"
"53623","937","277","2094","3.383","0.447"
"53602","1523","492","3023","3.096","0.504"
"53602","229","93","768","2.462","0.298"
"53590","120","43","349","2.791","0.344"
"53582","334","96","462","3.479","0.723"
"53570","2588","954","5096","2.713","0.508"
"53561","1318","498","2658","2.647","0.496"
"53559","683","213","1207","3.207","0.566"
"53559","1274","441","2532","2.889","0.503"
"53558","1880","731","4719","2.572","0.398"
"53538","1591","530","3541","3.002","0.449"
"53526","906","298","1852","3.040","0.489"
"53525","1145","473","3162","2.421","0.362"
"53509","1034","521","2944","1.985","0.351"
"53507.99999999999","1132","395","2131","2.866","0.531"
"53506","1837","771","4104","2.383","0.448"
"53505","2118","758","5094","2.794","0.416"
"53500","1577","524","2830","3.010","0.557"
"53495","572","191","1157","2.995","0.494"
"53478","1959","580","3602","3.378","0.544"
"53473","896","314","1912","2.854","0.469"
"53470.00000000001","2302","687","4638","3.351","0.496"
"53468","957","398","2533","2.405","0.378"
"53461.99999999999","1389","504","3402","2.756","0.408"
"53451.00000000001","1527","540","3323","2.828","0.460"
"53450","830","288","1479","2.882","0.561"
"53446","1545","493","2738","3.134","0.564"
"53441","1620","600","4203","2.700","0.385"
"53441","508","221","1245","2.299","0.408"
"53439","1101","408","2377","2.699","0.463"
"53433","872","345","2505","2.528","0.348"
"53430","2585","915","5781","2.825","0.447"
"53428.00000000001","1116","273","1727","4.088","0.646"
"53428.00000000001","1865","693","4417","2.691","0.422"
"53423","515","363","1574","1.419","0.327"
"53416","1030","353","1922","2.918","0.536"
"53409.00000000001","716","259","1575","2.764","0.455"
"53403","675","247","1487","2.733","0.454"
"53400","4240","1438","6751","2.949","0.628"
"53398","1390","436","2535","3.188","0.548"
"53380","594","286","1604","2.077","0.370"
"53377","1457","536","3092","2.718","0.471"
"53374","30","16","96","1.875","0.313"
"53369","425","288","1538","1.476","0.276"
"53369","998","372","2124","2.683","0.470"
"53368","1140","385","2788","2.961","0.409"
"53366","1981","705","4289","2.810","0.462"
"53362.99999999999","1835","412","1866","4.454","0.983"
"53362.99999999999","1142","365","2294","3.129","0.498"
"53359","7431","4930","18132","1.507","0.410"
"53351","1577","459","3541","3.436","0.445"
"53345","1497","454","3273","3.297","0.457"
"53343.99999999999","1357","451","3425","3.009","0.396"
"53339","1430","459","2968","3.115","0.482"
"53320.99999999999","3907","1068","8363","3.658","0.467"
"53316","1291","654","2975","1.974","0.434"
"53311","2510","632","3718","3.972","0.675"
"53307","888","216","1106","4.111","0.803"
"53307","2624","934","5609","2.809","0.468"
"53294","2027","741","4096","2.735","0.495"
"53292","724","301","1514","2.405","0.478"
"53292","906","248","1374","3.653","0.659"
"53288","2089","803","4976","2.601","0.420"
"53282.99999999999","1772","516","3046","3.434","0.582"
"53279","638","238","1364","2.681","0.468"
"53276","1849","832","7281","2.222","0.254"
"53275","3464","1006","6529","3.443","0.531"
"53272.00000000001","2878","1077","7520","2.672","0.383"
"53272.00000000001","1412","498","2863","2.835","0.493"
"53269","101","28","256","3.607","0.395"
"53267","3489","1115","7430","3.129","0.470"
"53263.99999999999","351","136","672","2.581","0.522"
"53261","429","157","984","2.732","0.436"
"53259","886","270","1476","3.281","0.600"
"53254","249","74","534","3.365","0.466"
"53254","982","393","2274","2.499","0.432"
"53247","395","195","1422","2.026","0.278"
"53244.99999999999","1094","396","2371","2.763","0.461"
"53244.99999999999","264","118","768","2.237","0.344"
"53244","1967","724","3763","2.717","0.523"
"53243","460","206","1285","2.233","0.358"
"53240.99999999999","1408","423","2982","3.329","0.472"
"53238","9360","3361","26322","2.785","0.356"
"53226.00000000001","1186","310","1726","3.826","0.687"
"53224","1562","743","4535","2.102","0.344"
"53220","3008","1038","5544","2.898","0.543"
"53209","519","162","934","3.204","0.556"
"53200","1488","650","4021","2.289","0.370"
"53194","1449","614","3702","2.360","0.391"
"53185","1137","419","2602","2.714","0.437"
"53183.99999999999","826","188","1143","4.394","0.723"
"53183.99999999999","927","355","2220","2.611","0.418"
"53179.99999999999","630","255","1612","2.471","0.391"
"53177","767","316","2236","2.427","0.343"
"53169.00000000001","867","352","2031","2.463","0.427"
"53169.00000000001","723","198","760","3.652","0.951"
"53168","92","36","239","2.556","0.385"
"53167","933","351","2052","2.658","0.455"
"53160","1411","626","3262","2.254","0.433"
"53157","850","254","1674","3.346","0.508"
"53154","631","247","1348","2.555","0.468"
"53146.00000000001","547","169","879","3.237","0.622"
"53135","966","419","2603","2.305","0.371"
"53131.00000000001","668","245","1364","2.727","0.490"
"53129","1559","546","3029","2.855","0.515"
"53124","648","370","1979","1.751","0.327"
"53118.99999999999","3415","1059","7383","3.225","0.463"
"53110","3335","1323","8552","2.521","0.390"
"53107","1128","341","2132","3.308","0.529"
"53106","1498","519","2790","2.886","0.537"
"53102","3193","983","7367","3.248","0.433"
"53099.99999999999","1733","470","3369","3.687","0.514"
"53099","1175","534","3095","2.200","0.380"
"53098","367","129","721","2.845","0.509"
"53096","1219","420","2347","2.902","0.519"
"53080.99999999999","1673","1088","4011","1.538","0.417"
"53080","662","340","1576","1.947","0.420"
"53080","1043","351","2005","2.972","0.520"
"53080","1280","386","2373","3.316","0.539"
"53077","1321","593","3597","2.228","0.367"
"53074","611","242","1297","2.525","0.471"
"53074","761","290","1339","2.624","0.568"
"53072","1558","369","2185","4.222","0.713"
"53064","3060","1060","6809","2.887","0.449"
"53061.99999999999","1697","444","2918","3.822","0.582"
"53057","1089","320","1471","3.403","0.740"
"53054","882","308","1805","2.864","0.489"
"53050","4768","1393","7748","3.423","0.615"
"53046","1661","868","4365","1.914","0.381"
"53044","2398","684","4528","3.506","0.530"
"53041","1378","476","2733","2.895","0.504"
"53032","980","282","1437","3.475","0.682"
"53028.00000000001","1161","421","2537","2.758","0.458"
"53017","1303","426","3193","3.059","0.408"
"53016","1339","389","2382","3.442","0.562"
"53015","746","270","1808","2.763","0.413"
"53008","1507","499","3047","3.020","0.495"
"53006","2928","892","6538","3.283","0.448"
"53002","1158","393","2628","2.947","0.441"
"52999","561","217","1313","2.585","0.427"
"52998","1540","537","3569","2.868","0.431"
"52990.00000000001","1200","442","3189","2.715","0.376"
"52987","3473","1067","6572","3.255","0.528"
"52971","776","339","2165","2.289","0.358"
"52962","793","297","1826","2.670","0.434"
"52960","1076","580","2774","1.855","0.388"
"52960","924","263","1790","3.513","0.516"
"52957","3205","1058","6860","3.029","0.467"
"52955","1184","385","2630","3.075","0.450"
"52954","735","307","1782","2.394","0.412"
"52953","1896","680","3932","2.788","0.482"
"52951","1618","540","4077","2.996","0.397"
"52949","1155","553","3120","2.089","0.370"
"52949","34","10","45","3.400","0.756"
"52949","842","276","1984","3.051","0.424"
"52939","1224","445","2707","2.751","0.452"
"52937","2286","602","3208","3.797","0.713"
"52930","1087","328","2324","3.314","0.468"
"52923","735","355","1549","2.070","0.474"
"52915","378","162","1316","2.333","0.287"
"52909","743","348","2106","2.135","0.353"
"52907","1513","562","3657","2.692","0.414"
"52903","879","309","2024","2.845","0.434"
"52897.99999999999","3240","1036","6964","3.127","0.465"
"52897","991","357","2062","2.776","0.481"
"52894","1894","737","3942","2.570","0.480"
"52888","1316","538","3202","2.446","0.411"
"52887.00000000001","1040","325","2080","3.200","0.500"
"52887.00000000001","1763","508","3223","3.470","0.547"
"52882","2568","703","4209","3.653","0.610"
"52881","3064","947","6225","3.235","0.492"
"52878.99999999999","3436","1057","5719","3.251","0.601"
"52868.00000000001","1098","485","3175","2.264","0.346"
"52865","1220","508","3134","2.402","0.389"
"52864.00000000001","949","332","1558","2.858","0.609"
"52861","8222","2553","16431","3.221","0.500"
"52855","749","269","1843","2.784","0.406"
"52853","736","360","1861","2.044","0.395"
"52852","660","200","1348","3.300","0.490"
"52851","2038","700","4297","2.911","0.474"
"52850","4436","1296","11965","3.423","0.371"
"52849.00000000001","1305","356","2103","3.666","0.621"
"52848","2494","696","3795","3.583","0.657"
"52838","664","200","1180","3.320","0.563"
"52836.99999999999","495","191","1318","2.592","0.376"
"52835","1345","556","3296","2.419","0.408"
"52831","930","387","2125","2.403","0.438"
"52820","950","319","1888","2.978","0.503"
"52820","422","158","984","2.671","0.429"
"52817.99999999999","818","352","2012","2.324","0.407"
"52817","1253","454","2655","2.760","0.472"
"52816","1261","402","2398","3.137","0.526"
"52815","1289","423","2704","3.047","0.477"
"52811","828","313","1946","2.645","0.425"
"52809","752","330","2268","2.279","0.332"
"52806","837","375","1682","2.232","0.498"
"52803.00000000001","1187","519","2445","2.287","0.485"
"52801","1207","380","2094","3.176","0.576"
"52798.99999999999","360","128","681","2.813","0.529"
"52798","2093","839","5332","2.495","0.393"
"52783","405","103","460","3.932","0.880"
"52773","1832","521","3284","3.516","0.558"
"52769.00000000001","424","163","876","2.601","0.484"
"52769.00000000001","1131","391","2399","2.893","0.471"
"52760","1533","518","3546","2.959","0.432"
"52759","7600","2086","13562","3.643","0.560"
"52742.00000000001","2002","555","3471","3.607","0.577"
"52742.00000000001","351","208","1853","1.688","0.189"
"52741","862","242","1659","3.562","0.520"
"52736","1386","411","2470","3.372","0.561"
"52732","1015","419","2016","2.422","0.503"
"52730","829","273","1606","3.037","0.516"
"52730","1571","621","3353","2.530","0.469"
"52729","405","127","833","3.189","0.486"
"52723.00000000001","795","330","1684","2.409","0.472"
"52722","1028","293","1621","3.509","0.634"
"52718.99999999999","698","209","1130","3.340","0.618"
"52713","915","328","1930","2.790","0.474"
"52713","4218","1644","11232","2.566","0.376"
"52699.99999999999","1546","545","3118","2.837","0.496"
"52699","3325","1016","7505","3.273","0.443"
"52692","3182","1042","5998","3.054","0.531"
"52690","676","231","1407","2.926","0.480"
"52680.99999999999","142","45","259","3.156","0.548"
"52671","960","279","1635","3.441","0.587"
"52668","2040","693","4373","2.944","0.466"
"52662.00000000001","1770","574","3369","3.084","0.525"
"52661","702","265","1776","2.649","0.395"
"52657","916","248","1484","3.694","0.617"
"52655","1891","562","3109","3.365","0.608"
"52649","1024","321","2211","3.190","0.463"
"52648","792","386","2165","2.052","0.366"
"52642","1102","502","2364","2.195","0.466"
"52638.99999999999","1352","469","2825","2.883","0.479"
"52636","872","268","2062","3.254","0.423"
"52614","1480","471","2824","3.142","0.524"
"52608","1586","560","3972","2.832","0.399"
"52606","954","312","1758","3.058","0.543"
"52601.00000000001","959","486","2020","1.973","0.475"
"52598","867","376","2382","2.306","0.364"
"52596","1818","529","3204","3.437","0.567"
"52595","1360","463","3214","2.937","0.423"
"52591","811","267","1613","3.037","0.503"
"52590","1657","667","4491","2.484","0.369"
"52590","1162","376","2223","3.090","0.523"
"52589","900","406","1875","2.217","0.480"
"52586.00000000001","1809","564","3917","3.207","0.462"
"52577.99999999999","236","106","617","2.226","0.382"
"52573","2027","491","2751","4.128","0.737"
"52571","1569","763","3599","2.056","0.436"
"52570","3912","1121","6909","3.490","0.566"
"52563.00000000001","673","274","2828","2.456","0.238"
"52563.00000000001","2468","714","4197","3.457","0.588"
"52561","1092","451","2778","2.421","0.393"
"52557","2653","664","3548","3.995","0.748"
"52554.99999999999","1581","881","4251","1.795","0.372"
"52551","1284","378","2295","3.397","0.559"
"52549","1108","452","2043","2.451","0.542"
"52548","949","276","1661","3.438","0.571"
"52542","1078","372","2541","2.898","0.424"
"52542","1377","450","2523","3.060","0.546"
"52541","1467","581","3178","2.525","0.462"
"52539","1029","577","2865","1.783","0.359"
"52535.99999999999","688","231","1467","2.978","0.469"
"52534","1898","717","3890","2.647","0.488"
"52533","371","227","925","1.634","0.401"
"52533","2983","1163","6114","2.565","0.488"
"52530","4573","1294","9179","3.534","0.498"
"52530","442","173","1074","2.555","0.412"
"52528","1633","543","3075","3.007","0.531"
"52527","1464","488","3304","3.000","0.443"
"52523","2228","646","4093","3.449","0.544"
"52522","566","181","1170","3.127","0.484"
"52519","945","544","2589","1.737","0.365"
"52508","1433","434","3098","3.302","0.463"
"52503","1329","490","2812","2.712","0.473"
"52500","589","137","793","4.299","0.743"
"52500","1504","453","3216","3.320","0.468"
"52500","61","23","80","2.652","0.763"
"52500","611","284","1577","2.151","0.387"
"52497","1156","410","2718","2.820","0.425"
"52497","1693","597","3305","2.836","0.512"
"52490","656","282","1665","2.326","0.394"
"52489","1466","464","2796","3.159","0.524"
"52486","955","328","2023","2.912","0.472"
"52485","825","316","1813","2.611","0.455"
"52463","1444","512","3050","2.820","0.473"
"52460.00000000001","5221","1482","10804","3.523","0.483"
"52452","1340","421","2915","3.183","0.460"
"52452","1592","491","2919","3.242","0.545"
"52449","1701","826","4899","2.059","0.347"
"52447","2568","758","5121","3.388","0.501"
"52446","2264","697","3913","3.248","0.579"
"52444","1776","669","4518","2.655","0.393"
"52443","702","263","1755","2.669","0.400"
"52442","1316","430","2738","3.060","0.481"
"52440","811","272","1493","2.982","0.543"
"52421","1050","417","2223","2.518","0.472"
"52417","942","344","2066","2.738","0.456"
"52416","837","381","2038","2.197","0.411"
"52415","8190","2515","12980","3.256","0.631"
"52405","2647","969","5992","2.732","0.442"
"52405","640","200","1267","3.200","0.505"
"52402","510","224","1389","2.277","0.367"
"52400","884","432","2195","2.046","0.403"
"52396","2352","734","4211","3.204","0.559"
"52391","1337","655","3294","2.041","0.406"
"52384.00000000001","884","208","1153","4.250","0.767"
"52375","318","91","678","3.495","0.469"
"52374","508","158","828","3.215","0.614"
"52370","634","197","1219","3.218","0.520"
"52366","570","250","1529","2.280","0.373"
"52363","2105","834","3792","2.524","0.555"
"52362","1363","659","4094","2.068","0.333"
"52361.00000000001","2537","971","4975","2.613","0.510"
"52359","955","418","2802","2.285","0.341"
"52340","1159","407","2659","2.848","0.436"
"52337.99999999999","590","250","1437","2.360","0.411"
"52336","784","290","1851","2.703","0.424"
"52333","384","197","959","1.949","0.400"
"52329","1239","431","2874","2.875","0.431"
"52328","496","209","1183","2.373","0.419"
"52327","217","93","440","2.333","0.493"
"52326","604","332","1675","1.819","0.361"
"52325","1525","682","4428","2.236","0.344"
"52323.00000000001","1099","362","2427","3.036","0.453"
"52321","3728","1781","10088","2.093","0.370"
"52319.00000000001","911","392","2398","2.324","0.380"
"52319.00000000001","2351","863","5135","2.724","0.458"
"52312","854","301","1487","2.837","0.574"
"52308","2721","763","3994","3.566","0.681"
"52305","2269","663","4039","3.422","0.562"
"52299","1042","396","2219","2.631","0.470"
"52297","1562","383","2358","4.078","0.662"
"52291.99999999999","1427","535","3367","2.667","0.424"
"52289","266","123","685","2.163","0.388"
"52287","803","216","943","3.718","0.852"
"52285.00000000001","1466","535","3174","2.740","0.462"
"52280","6931","2023","13290","3.426","0.522"
"52276","2803","1394","6712","2.011","0.418"
"52269","444","204","1279","2.176","0.347"
"52261","951","368","2232","2.584","0.426"
"52250","1461","344","1893","4.247","0.772"
"52249","1113","357","2522","3.118","0.441"
"52230","943","315","1759","2.994","0.536"
"52227","1189","326","1810","3.647","0.657"
"52220.00000000001","1253","531","3105","2.360","0.404"
"52206","3246","1062","6106","3.056","0.532"
"52203","751","219","1575","3.429","0.477"
"52200","2571","1018","6075","2.526","0.423"
"52185","853","315","3474","2.708","0.246"
"52177","3166","926","6838","3.419","0.463"
"52173.99999999999","3962","1150","8403","3.445","0.471"
"52166","2030","602","3057","3.372","0.664"
"52162","1227","359","1945","3.418","0.631"
"52154.99999999999","872","367","2405","2.376","0.363"
"52154.99999999999","871","336","1946","2.592","0.448"
"52150","910","364","2307","2.500","0.394"
"52149","733","178","847","4.118","0.865"
"52149","1077","333","2085","3.234","0.517"
"52146","879","280","7961","3.139","0.110"
"52145","899","270","1838","3.330","0.489"
"52139","899","285","1634","3.154","0.550"
"52138","2734","1000","5330","2.734","0.513"
"52134","1055","312","2360","3.381","0.447"
"52131","2723","1035","6740","2.631","0.404"
"52131","785","319","2124","2.461","0.370"
"52131","3521","1423","6971","2.474","0.505"
"52129","2138","605","3592","3.534","0.595"
"52128","331","137","792","2.416","0.418"
"52128","1242","518","3037","2.398","0.409"
"52124","675","294","1567","2.296","0.431"
"52121.00000000001","1009","556","2388","1.815","0.423"
"52120","976","370","2068","2.638","0.472"
"52118","515","202","1109","2.550","0.464"
"52114","1498","647","3454","2.315","0.434"
"52112.99999999999","1788","587","3716","3.046","0.481"
"52108","1604","572","3344","2.804","0.480"
"52101","1278","416","2420","3.072","0.528"
"52099","788","306","1740","2.575","0.453"
"52099","1333","427","2478","3.122","0.538"
"52088","1431","496","2857","2.885","0.501"
"52088","1146","279","1642","4.108","0.698"
"52088","688","221","1481","3.113","0.465"
"52083.00000000001","1371","565","2870","2.427","0.478"
"52081","761","295","1713","2.580","0.444"
"52080","850","327","1993","2.599","0.426"
"52079.00000000001","1398","601","3282","2.326","0.426"
"52078","816","328","2077","2.488","0.393"
"52077","232","107","586","2.168","0.396"
"52072","543","188","1160","2.888","0.468"
"52067","1432","483","2751","2.965","0.521"
"52066","311","92","966","3.380","0.322"
"52051","1948","622","4256","3.132","0.458"
"52049","750","255","1298","2.941","0.578"
"52043","1408","586","3253","2.403","0.433"
"52039","1763","601","3422","2.933","0.515"
"52037.00000000001","811","263","1548","3.084","0.524"
"52035","826","268","1565","3.082","0.528"
"52034","2046","488","2755","4.193","0.743"
"52032","1689","545","3421","3.099","0.494"
"52019","673","272","1484","2.474","0.454"
"52017","676","273","1698","2.476","0.398"
"52016","1346","497","2772","2.708","0.486"
"52015","4377","1789","10191","2.447","0.429"
"52015","600","236","1462","2.542","0.410"
"52001","1291","614","3757","2.103","0.344"
"52000","1599","716","3611","2.233","0.443"
"51999.00000000001","1675","932","4600","1.797","0.364"
"51998","1917","842","5870","2.277","0.327"
"51994.99999999999","388","232","1025","1.672","0.379"
"51993","451","164","856","2.750","0.527"
"51990.99999999999","742","307","1937","2.417","0.383"
"51985","2114","838","5308","2.523","0.398"
"51984","943","300","1660","3.143","0.568"
"51970","1066","346","2038","3.081","0.523"
"51966","979","335","2153","2.922","0.455"
"51960","7560","2392","15025","3.161","0.503"
"51952","1272","337","2181","3.774","0.583"
"51950","1671","477","2949","3.503","0.567"
"51948","3944","1493","8732","2.642","0.452"
"51929.99999999999","1085","438","2480","2.477","0.438"
"51929.99999999999","999","301","1883","3.319","0.531"
"51929","939","278","1786","3.378","0.526"
"51923","745","332","2126","2.244","0.350"
"51914.99999999999","720","309","1824","2.330","0.395"
"51909","820","315","1874","2.603","0.438"
"51909","1037","326","2175","3.181","0.477"
"51896.00000000001","1278","386","2382","3.311","0.537"
"51893","1152","445","2807","2.589","0.410"
"51878","657","209","1421","3.144","0.462"
"51874","897","306","1816","2.931","0.494"
"51870","471","187","1337","2.519","0.352"
"51857","1276","405","2541","3.151","0.502"
"51842","936","287","1893","3.261","0.494"
"51840","1420","479","2894","2.965","0.491"
"51837","1105","543","3116","2.035","0.355"
"51837","2064","957","6091","2.157","0.339"
"51836","1318","434","2572","3.037","0.512"
"51834","1550","792","3990","1.957","0.388"
"51830.99999999999","322","218","440","1.477","0.732"
"51824","369","209","1179","1.766","0.313"
"51815","792","446","2484","1.776","0.319"
"51814","1197","552","3470","2.168","0.345"
"51814","846","295","1676","2.868","0.505"
"51811","1168","345","3254","3.386","0.359"
"51806","621","258","1302","2.407","0.477"
"51806","1530","807","3564","1.896","0.429"
"51805","1522","565","3359","2.694","0.453"
"51805","1183","413","2259","2.864","0.524"
"51795","711","283","1530","2.512","0.465"
"51788","362","138","737","2.623","0.491"
"51788","849","530","2537","1.602","0.335"
"51788","4375","1231","6457","3.554","0.678"
"51786","862","280","1921","3.079","0.449"
"51785","1370","459","2830","2.985","0.484"
"51784","685","256","1600","2.676","0.428"
"51782","906","245","1526","3.698","0.594"
"51782","1094","411","2698","2.662","0.405"
"51781","4095","1335","9488","3.067","0.432"
"51781","2088","789","4833","2.646","0.432"
"51778.00000000001","881","309","1575","2.851","0.559"
"51775","2354","709","4166","3.320","0.565"
"51773","1177","555","3529","2.121","0.334"
"51771","2732","830","5391","3.292","0.507"
"51769","1134","269","1643","4.216","0.690"
"51765","378","139","943","2.719","0.401"
"51762","3038","727","4632","4.179","0.656"
"51755.00000000001","3283","1286","8213","2.553","0.400"
"51752","2524","830","5018","3.041","0.503"
"51741","636","244","1416","2.607","0.449"
"51738","1395","486","2911","2.870","0.479"
"51733","1189","433","2823","2.746","0.421"
"51727.99999999999","327","103","479","3.175","0.683"
"51727","1083","369","2016","2.935","0.537"
"51721","1417","447","3353","3.170","0.423"
"51718","1359","547","3105","2.484","0.438"
"51708","534","228","1309","2.342","0.408"
"51708","1006","258","1485","3.899","0.677"
"51702","1243","663","2873","1.875","0.433"
"51701","463","177","991","2.616","0.467"
"51701","3827","1294","7518","2.957","0.509"
"51700","1219","435","2693","2.802","0.453"
"51698.00000000001","690","191","966","3.613","0.714"
"51696","1004","371","2269","2.706","0.442"
"51695","1305","520","3228","2.510","0.404"
"51695","7305","2463","17978","2.966","0.406"
"51691","905","378","2591","2.394","0.349"
"51681","566","231","1597","2.450","0.354"
"51677","2286","1243","5152","1.839","0.444"
"51675.00000000001","374","153","979","2.444","0.382"
"51674","2059","835","4304","2.466","0.478"
"51669","695","249","1300","2.791","0.535"
"51668","2205","559","3187","3.945","0.692"
"51664","752","275","1602","2.735","0.469"
"51664","248","84","388","2.952","0.639"
"51663","2178","650","4021","3.351","0.542"
"51654","652","140","733","4.657","0.889"
"51647","2456","666","3958","3.688","0.621"
"51645","1565","508","2722","3.081","0.575"
"51645","931","275","1507","3.385","0.618"
"51643","3571","1466","7441","2.436","0.480"
"51641","1784","615","3808","2.901","0.468"
"51637.00000000001","1234","577","3053","2.139","0.404"
"51630","2465","946","5203","2.606","0.474"
"51628.99999999999","862","330","2039","2.612","0.423"
"51626","1264","506","3070","2.498","0.412"
"51624","1707","549","3964","3.109","0.431"
"51619","1040","375","1951","2.773","0.533"
"51616","2023","749","4133","2.701","0.489"
"51615","2089","540","3611","3.869","0.579"
"51602","674","410","1755","1.644","0.384"
"51590","890","323","1920","2.755","0.464"
"51589","1311","589","3053","2.226","0.429"
"51589","563","287","1206","1.962","0.467"
"51586.99999999999","909","325","1949","2.797","0.466"
"51586","1636","540","2893","3.030","0.566"
"51585","750","252","1633","2.976","0.459"
"51584","547","258","1388","2.120","0.394"
"51583","913","406","1964","2.249","0.465"
"51582","1557","501","3084","3.108","0.505"
"51560","704","263","1630","2.677","0.432"
"51550","1472","618","3109","2.382","0.473"
"51545","678","322","1462","2.106","0.464"
"51540","1627","585","3388","2.781","0.480"
"51538.00000000001","778","229","1553","3.397","0.501"
"51534.00000000001","1665","535","3011","3.112","0.553"
"51529","1741","563","3568","3.092","0.488"
"51524","1165","523","2607","2.228","0.447"
"51523","1085","420","2426","2.583","0.447"
"51520","742","215","1335","3.451","0.556"
"51520","479","161","897","2.975","0.534"
"51519.00000000001","1582","567","2873","2.790","0.551"
"51515.00000000001","5279","1844","9559","2.863","0.552"
"51514","2198","610","3785","3.603","0.581"
"51512","4636","1453","12837","3.191","0.361"
"51512","1015","381","2388","2.664","0.425"
"51509","1779","622","3677","2.860","0.484"
"51508","3333","1712","9103","1.947","0.366"
"51506.99999999999","1253","338","2115","3.707","0.592"
"51506","3636","1524","8275","2.386","0.439"
"51506","3083","1621","10053","1.902","0.307"
"51498","1086","367","2663","2.959","0.408"
"51496.00000000001","1073","535","2795","2.006","0.384"
"51491","2221","839","5226","2.647","0.425"
"51490","1047","437","2994","2.396","0.350"
"51487.99999999999","1017","405","2550","2.511","0.399"
"51483","2110","868","4863","2.431","0.434"
"51482","2104","847","5744","2.484","0.366"
"51478","357","87","444","4.103","0.804"
"51473.00000000001","1990","672","4478","2.961","0.444"
"51463","793","249","1558","3.185","0.509"
"51461","2290","743","4258","3.082","0.538"
"51457","3269","980","6268","3.336","0.522"
"51457","576","216","1503","2.667","0.383"
"51449.99999999999","2455","1472","6206","1.668","0.396"
"51442","3759","1481","9104","2.538","0.413"
"51440","403","97","489","4.155","0.824"
"51439","1392","543","3951","2.564","0.352"
"51437","2937","1506","7477","1.950","0.393"
"51435.00000000001","1086","340","2331","3.194","0.466"
"51433","1515","431","2718","3.515","0.557"
"51433","687","232","1229","2.961","0.559"
"51430","1129","386","2370","2.925","0.476"
"51423","822","342","1755","2.404","0.468"
"51423","748","278","1347","2.691","0.555"
"51418","928","295","1484","3.146","0.625"
"51416.00000000001","1405","341","2027","4.120","0.693"
"51412.00000000001","1449","519","3337","2.792","0.434"
"51407.99999999999","881","289","1549","3.048","0.569"
"51407.99999999999","1036","382","1575","2.712","0.658"
"51406","512","208","1280","2.462","0.400"
"51391","2077","755","4764","2.751","0.436"
"51386","761","281","1691","2.708","0.450"
"51384.99999999999","2455","1365","7228","1.799","0.340"
"51384","2743","1057","6393","2.595","0.429"
"51377","1053","316","1932","3.332","0.545"
"51377","187","88","417","2.125","0.448"
"51369.99999999999","965","529","2472","1.824","0.390"
"51365","868","304","1658","2.855","0.524"
"51365","1877","559","3776","3.358","0.497"
"51360","133","45","426","2.956","0.312"
"51356","1623","589","3030","2.756","0.536"
"51354","1166","398","2756","2.930","0.423"
"51345","1537","426","2343","3.608","0.656"
"51337","940","308","1524","3.052","0.617"
"51335","2687","1171","6027","2.295","0.446"
"51333","7766","2473","17577","3.140","0.442"
"51333","1146","506","2700","2.265","0.424"
"51333","1271","474","2823","2.681","0.450"
"51330","1176","571","3617","2.060","0.325"
"51330","1004","380","2319","2.642","0.433"
"51322","402","142","612","2.831","0.657"
"51321","2357","823","4247","2.864","0.555"
"51315","764","339","1851","2.254","0.413"
"51314","276","107","3111","2.579","0.089"
"51312","957","335","1670","2.857","0.573"
"51310","2263","661","4013","3.424","0.564"
"51304.99999999999","491","110","521","4.464","0.942"
"51299","2529","814","4702","3.107","0.538"
"51298","878","423","2248","2.076","0.391"
"51297","1782","676","3913","2.636","0.455"
"51296","1012","265","1579","3.819","0.641"
"51292","75","38","221","1.974","0.339"
"51282","1498","484","2683","3.095","0.558"
"51280","1157","696","2737","1.662","0.423"
"51280","1135","332","2007","3.419","0.566"
"51271.00000000001","817","337","2031","2.424","0.402"
"51271.00000000001","1066","424","2552","2.514","0.418"
"51269","2678","1226","6097","2.184","0.439"
"51265","761","277","1800","2.747","0.423"
"51265","762","282","1663","2.702","0.458"
"51261","1655","524","3216","3.158","0.515"
"51250","685","255","1382","2.686","0.496"
"51249","978","449","2764","2.178","0.354"
"51242","631","275","1532","2.295","0.412"
"51238","1153","407","2510","2.833","0.459"
"51237.00000000001","1001","373","2157","2.684","0.464"
"51230","732","265","1548","2.762","0.473"
"51228","3934","1238","6425","3.178","0.612"
"51221","6945","2418","14934","2.872","0.465"
"51210.00000000001","1529","602","3223","2.540","0.474"
"51207","970","391","1980","2.481","0.490"
"51205","1255","397","2274","3.161","0.552"
"51202","2038","709","4375","2.874","0.466"
"51194","1473","675","4372","2.182","0.337"
"51186.99999999999","1100","322","1551","3.416","0.709"
"51185","1757","574","3560","3.061","0.494"
"51184","804","340","2070","2.365","0.388"
"51182","1224","399","2395","3.068","0.511"
"51180","943","285","1724","3.309","0.547"
"51178","947","349","2038","2.713","0.465"
"51171","664","220","1462","3.018","0.454"
"51169","1295","625","3994","2.072","0.324"
"51169","603","283","1582","2.131","0.381"
"51165","457","190","1092","2.405","0.418"
"51163","1356","484","3013","2.802","0.450"
"51155","782","411","1598","1.903","0.489"
"51155","692","235","1337","2.945","0.518"
"51155","2227","641","3482","3.474","0.640"
"51148.99999999999","1270","386","2199","3.290","0.578"
"51148.99999999999","1571","615","3615","2.554","0.435"
"51144.99999999999","1810","633","3258","2.859","0.556"
"51136","234","77","222","3.039","1.054"
